ai_document,sim_to_orig,sim_to_wiki,difference,closer_to,top1_orig,top1_orig_sim,top1_wiki,top1_wiki_sim
1991_Grimm_Copilot_Fiedler_Froschkönig.txt,0.2388,0.2502,-0.0114,Wikipedia,1857_Grimm_Original_Grimm_Der_Froschkönig_oder_der_eiserne_Heinrich.txt,0.47,1991_Grimm_Wikipedia_Fiedler_Froschkönig.txt,0.66
1982_Grimm_Copilot_Hofman_Der_dritte_Prinz.txt,0.2291,0.2431,-0.014,Wikipedia,–,,1982_Grimm_Wikipedia_Hofman_Der_dritte_Prinz.txt,0.725
1981_Grimm_Copilot_Glocko_Die_drei_goldenen_Haare_des_Sonnenkönigs.txt,0.2011,0.2159,-0.0148,Wikipedia,1857_Grimm_Original_Grimm_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.386,1981_Grimm_Wikipedia_Glocko_Die_drei_goldenen_Haare_des_Sonnenkönigs.txt,0.744
1977_Grimm_Copilot_Bothe-Pelzer_Allerleirauh.txt,0.1951,0.2125,-0.0174,Wikipedia,1857_Grimm_Original_Grimm_Allerleirauh.txt,0.463,1977_Grimm_Wikipedia_Bothe-Pelzer_Allerleirauh.txt,0.566
1977_Grimm_Copilot_Schmenger_Die_zertanzten_Schuhe.txt,0.1959,0.2135,-0.0177,Wikipedia,1812_Grimm_Original_Grimm_Die_zertanzten_Schuhe.txt,0.546,1977_Grimm_Wikipedia_Schmenger_Die_zertanzten_Schuhe.txt,0.624
2010_Grimm_Copilot_Bongratz_Der_Meisterdieb.txt,0.2394,0.2587,-0.0194,Wikipedia,1812_Grimm_Original_Grimm_Der_Meisterdieb.txt,0.6,2010_Grimm_Wikipedia_Bongartz_Der_Meisterdieb.txt,0.713
2014_Grimm_Copilot_Turhan_Die_drei_Federn.txt,0.2198,0.2396,-0.0198,Wikipedia,1857_Grimm_Original_Grimm_Die_drei_Federn.txt,0.561,2014_Grimm_Wikipedia_Turhan_Die_drei_Federn.txt,0.782
2012_Grimm_Copilot_Keerl_Die_sechs_Schwäne.txt,0.2229,0.2428,-0.0199,Wikipedia,1857_Grimm_Original_Grimm_Die_sechs_Schwaene.txt,0.503,2012_Grimm_Wikipedia_Keerl_Die_sechs_Schwäne.txt,0.746
1954_Grimm_Copilot_Lustig_Rotkäppchen.txt,0.3127,0.3333,-0.0206,Wikipedia,1857_Grimm_Original_Grimm_Rothkäppchen.txt,0.577,1954_Grimm_Wikipedia_Lustig_Rotkäppchen.txt,0.659
1988_Grimm_Copilot_Steigerwald_Das_Wasser_des_Lebens.txt,0.1965,0.2175,-0.021,Wikipedia,1857_Grimm_Original_Grimm_Das_Wasser_des_Lebens.txt,0.365,1988_Grimm_Wikipedia_Steigerwald_Das_Wasser_des_Lebens.txt,0.551
1987_Grimm_Copilot_Weems_Hänsel_und_Gretel.txt,0.233,0.2541,-0.0212,Wikipedia,–,,1987_Grimm_Wikipedia_Weems_Hänsel_und_Gretel.txt,0.647
1999_Grimm_Copilot_Genschow_Hans_im_Glück.txt,0.2219,0.2436,-0.0217,Wikipedia,1819_Grimm_Original_Grimm_Hans_im_Glück.txt,0.471,1999_Grimm_Wikipedia_Genschow_Hans_im_Glück.txt,0.686
1960_Grimm_Copilot_Carballido_Macario.txt,0.2885,0.3104,-0.0219,Wikipedia,1857_Grimm_Original_Grimm_Der_Gevatter_Tod.txt,0.537,1960_Grimm_Wikipedia_Carballido_Macario.txt,0.637
1984_Grimm_Copilot_Luther_König_Drosselbart.txt,0.1938,0.2162,-0.0224,Wikipedia,1812_Grimm_Original_Grimm_König_Drosselbart.txt,0.358,1984_Grimm_Wikipedia_Luther_König_Drosselbart.txt,0.621
1953_Grimm_Copilot_Fitz_Brüderchen_und_Schwesterchen.txt,0.2518,0.2742,-0.0224,Wikipedia,1857_Grimm_Original_Grimm_Brüderchen_und_Schwesterchen.txt,0.535,1953_Grimm_Wikipedia_Fitz_Brüderchen_und_Schwesterchen.txt,0.688
2011_Grimm_Copilot_Kreis_Die_zertanzten_Schuhe.txt,0.2325,0.2553,-0.0228,Wikipedia,1812_Grimm_Original_Grimm_Die_zertanzten_Schuhe.txt,0.574,2011_Grimm_Wikipedia_Kreis_Die_zertanzten_Schuhe.txt,0.737
2008_Grimm_Copilot_Ewald_Frau_Holle.txt,0.2094,0.2335,-0.0241,Wikipedia,1857_Grimm_Original_Grimm_Frau_Holle.txt,0.549,2008_Grimm_Wikipedia_Ewald_Frau_Holle.txt,0.759
1982_Grimm_Copilot_Ensikat_Der_Hase_und_der_Igel.txt,0.228,0.2531,-0.0251,Wikipedia,1843_Grimm_Original_Grimm_Der_Hase_und_der_Igel.txt,0.601,1982_Grimm_Wikipedia_Ensikat_Der_Hase_und_der_Igel.txt,0.67
2013_Grimm_Copilot_Hahn_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.2016,0.227,-0.0254,Wikipedia,1857_Grimm_Original_Grimm_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.484,2013_Grimm_Wikipedia_Hahn_Der_Teufel_mit_den_drei_goldenen_Haaren.txt,0.782
