Token,EmotionCount,Emotions
allerdings,4,"disapproval, joy, love, neutral"
wasser,14,"admiration, approval, caring, curiosity, desire, disgust, fear, gratitude, joy, neutral, pride, remorse, sadness, surprise"
werfen,3,"caring, neutral, pride"
lässt,8,"admiration, annoyance, approval, joy, love, neutral, sadness, surprise"
unterwegs,2,"fear, neutral"
frei,9,"admiration, approval, curiosity, disappointment, excitement, joy, neutral, realization, sadness"
erfährt,4,"annoyance, approval, neutral, realization"
bringt,4,"admiration, disappointment, love, neutral"
schönen,8,"admiration, approval, desire, disapproval, gratitude, love, neutral, sadness"
verkaufen,3,"neutral, optimism, surprise"
denkt,2,"admiration, neutral"
teuer,2,"admiration, neutral"
stadt,10,"admiration, amusement, anger, approval, joy, love, neutral, realization, sadness, surprise"
finden,11,"admiration, amusement, anger, annoyance, curiosity, disappointment, fear, joy, neutral, optimism, realization"
kehrt,4,"joy, neutral, pride, surprise"
herberge,2,"admiration, neutral"
voll,5,"admiration, anger, fear, gratitude, neutral"
mitgenommen,2,"admiration, neutral"
gibt,7,"admiration, annoyance, approval, caring, love, neutral, realization"
wirt,3,"admiration, joy, neutral"
trägt,2,"admiration, neutral"
ja,17,"admiration, amusement, anger, annoyance, approval, confusion, curiosity, disappointment, disapproval, excitement, fear, gratitude, joy, love, neutral, realization, sadness"
darinnen,2,"admiration, neutral"
wirklich,6,"admiration, confusion, curiosity, desire, neutral, sadness"
schenkt,3,"gratitude, neutral, realization"
wirtshaus,3,"admiration, disappointment, neutral"
tochter,9,"admiration, amusement, annoyance, curiosity, disappointment, joy, neutral, realization, sadness"
fluss,3,"admiration, anger, neutral"
gerade,10,"admiration, annoyance, approval, curiosity, disgust, excitement, fear, gratitude, neutral, sadness"
bringen,8,"admiration, annoyance, caring, desire, grief, joy, neutral, optimism"
plötzlich,6,"curiosity, joy, love, neutral, realization, surprise"
fällt,5,"approval, curiosity, disappointment, neutral, surprise"
versteckt,2,"neutral, surprise"
wiederfinden,2,"admiration, neutral"
inzwischen,4,"neutral, realization, sadness, surprise"
hof,3,"admiration, love, neutral"
gejagt,3,"annoyance, neutral, realization"
sohn,7,"admiration, desire, disapproval, love, neutral, optimism, realization"
joe,2,"neutral, realization"
beide,9,"admiration, approval, curiosity, desire, disappointment, love, neutral, optimism, remorse"
kinder,9,"admiration, amusement, anger, approval, disappointment, joy, love, neutral, surprise"
zunächst,3,"amusement, approval, neutral"
aufgebrachte,2,"fear, neutral"
menge,4,"fear, neutral, realization, surprise"
versammelt,2,"disappointment, neutral"
gefängnis,2,"caring, neutral"
ebenfalls,2,"admiration, neutral"
haywood,3,"desire, neutral, realization"
dutton,2,"neutral, realization"
molly,4,"desire, disappointment, neutral, realization"
rechtzeitig,2,"gratitude, neutral"
kommen,9,"admiration, approval, desire, fear, joy, love, neutral, realization, sadness"
beschließt,2,"excitement, neutral"
häuser,3,"fear, joy, neutral"
schneekönigin,9,"admiration, curiosity, disappointment, disapproval, grief, love, neutral, optimism, realization"
prophezeiung,2,"neutral, realization"
sterne,2,"admiration, neutral"
aufs,3,"admiration, amusement, neutral"
neue,6,"admiration, annoyance, approval, joy, neutral, optimism"
geboren,5,"disapproval, fear, joy, neutral, sadness"
schwarzen,5,"admiration, annoyance, joy, neutral, realization"
schwert,4,"admiration, caring, disgust, neutral"
eis,6,"admiration, fear, love, neutral, realization, sadness"
zerschlägt,2,"annoyance, neutral"
grünen,4,"admiration, disapproval, neutral, sadness"
