Token,EmotionCount,Emotions
jahre,3,"disappointment, neutral, optimism"
alt,3,"love, neutral, sadness"
meere,8,"admiration, annoyance, approval, curiosity, desire, joy, neutral, realization"
blickt,2,"amusement, neutral"
oberfläche,2,"disappointment, neutral"
schwimmt,2,"admiration, neutral"
vergleicht,2,"neutral, surprise"
aussehen,2,"gratitude, neutral"
fest,10,"admiration, approval, desire, disappointment, disgust, excitement, fear, joy, neutral, sadness"
bevor,2,"approval, neutral"
bäumen,4,"admiration, approval, disgust, neutral"
kuss,2,"love, neutral"
königliche,3,"disappointment, fear, neutral"
meeresfamilie,2,"fear, neutral"
kostbaren,3,"annoyance, desire, neutral"
rote,3,"admiration, annoyance, neutral"
inneren,2,"disappointment, neutral"
gefunden,6,"amusement, joy, love, neutral, realization, surprise"
roten,7,"admiration, caring, desire, disappointment, disgust, joy, neutral"
schenkte,6,"admiration, curiosity, desire, disappointment, gratitude, neutral"
wunderschöne,3,"admiration, fear, neutral"
stimme,5,"admiration, approval, neutral, realization, sadness"
hören,8,"admiration, annoyance, approval, desire, disappointment, excitement, joy, neutral"
weiß,13,"admiration, anger, caring, confusion, curiosity, disappointment, fear, joy, love, neutral, optimism, realization, surprise"
rot,5,"admiration, love, neutral, realization, sadness"
schwarz,2,"neutral, sadness"
wer,13,"admiration, anger, annoyance, approval, curiosity, disappointment, fear, love, neutral, optimism, realization, sadness, surprise"
nie,17,"admiration, amusement, anger, annoyance, caring, confusion, disappointment, disapproval, disgust, embarrassment, fear, joy, love, neutral, realization, sadness, surprise"
oben,6,"admiration, amusement, annoyance, curiosity, joy, neutral"
jungen,7,"admiration, anger, approval, fear, joy, neutral, realization"
hört,2,"neutral, sadness"
sehnsucht,4,"admiration, amusement, fear, neutral"
tiefe,2,"neutral, realization"
meeres,3,"admiration, neutral, realization"
schar,2,"fear, neutral"
königlichen,2,"admiration, neutral"
prächtigen,3,"admiration, neutral, sadness"
feuerwerk,2,"joy, neutral"
meeresschaum,2,"annoyance, neutral"
land,9,"admiration, annoyance, desire, disapproval, joy, love, neutral, optimism, sadness"
fröhlich,5,"admiration, curiosity, excitement, joy, neutral"
schöne,10,"admiration, amusement, approval, disappointment, excitement, joy, love, neutral, sadness, surprise"
kummervoll,2,"neutral, sadness"
meerkönig,2,"disappointment, neutral"
streng,2,"admiration, neutral"
immer,15,"admiration, amusement, annoyance, approval, caring, curiosity, desire, disappointment, fear, joy, love, neutral, optimism, realization, sadness"
dunkelhaarige,4,"admiration, love, neutral, realization"
denken,4,"admiration, annoyance, neutral, realization"
jahr,3,"admiration, joy, neutral"
untergehenden,2,"admiration, neutral"
gekommen,4,"curiosity, fear, neutral, sadness"
läuft,5,"admiration, amusement, approval, love, neutral"
meerhexe,2,"fear, neutral"
menschliche,2,"disgust, neutral"
erhalten,8,"admiration, curiosity, disappointment, excitement, love, nervousness, neutral, optimism"
lied,7,"admiration, curiosity, excitement, joy, neutral, realization, sadness"
herz,16,"admiration, amusement, approval, caring, curiosity, desire, embarrassment, fear, gratitude, joy, love, neutral, optimism, realization, sadness, surprise"
brechen,2,"neutral, sadness"
natur,3,"admiration, annoyance, neutral"
vielen,4,"admiration, caring, love, neutral"
garten,5,"admiration, amusement, fear, joy, neutral"
einsam,2,"fear, neutral"
menschengestalt,2,"disappointment, neutral"
reisen,3,"approval, disappointment, neutral"
schweigen,4,"anger, annoyance, love, neutral"
schiffe,3,"admiration, neutral, surprise"
laufen,2,"love, neutral"
blutigen,2,"joy, neutral"
füße,6,"admiration, anger, embarrassment, nervousness, neutral, sadness"
scheint,4,"admiration, desire, disappointment, neutral"
erkennen,6,"admiration, disgust, fear, joy, neutral, realization"
meermädchen,3,"admiration, annoyance, neutral"
messer,7,"admiration, amusement, curiosity, fear, joy, neutral, sadness"
drängt,3,"desire, fear, neutral"
neigt,2,"admiration, neutral"
schrei,5,"admiration, annoyance, fear, neutral, sadness"
erwachen,3,"desire, neutral, realization"
braut,4,"admiration, annoyance, neutral, sadness"
darüber,3,"admiration, neutral, realization"
gesang,7,"admiration, amusement, disgust, excitement, gratitude, love, neutral"
evan,5,"admiration, embarrassment, love, neutral, sadness"
verloren,6,"admiration, confusion, disappointment, neutral, realization, sadness"
daher,6,"approval, caring, desire, joy, love, neutral"
baum,6,"admiration, annoyance, curiosity, joy, neutral, realization"
rettet,2,"caring, neutral"
bart,3,"admiration, desire, neutral"
gefällt,4,"admiration, approval, love, neutral"
maria,6,"anger, joy, love, neutral, sadness, surprise"
königs,6,"admiration, amusement, annoyance, disappointment, neutral, realization"
rücken,5,"admiration, annoyance, joy, love, neutral"
endlich,9,"amusement, caring, desire, fear, joy, neutral, optimism, realization, sadness"
gilt,4,"admiration, annoyance, love, neutral"
alter,5,"admiration, curiosity, neutral, realization, sadness"
räte,2,"admiration, neutral"
seite,6,"admiration, disappointment, fear, love, neutral, sadness"
mechanische,3,"joy, love, neutral"
nachtigall,4,"admiration, joy, love, neutral"
gewand,2,"neutral, realization"
krönung,2,"joy, neutral"
stoff,2,"admiration, neutral"
amtes,2,"admiration, neutral"
geben,11,"admiration, amusement, anger, approval, curiosity, desire, disapproval, embarrassment, neutral, realization, sadness"
unsichtbaren,2,"admiration, neutral"
schließlich,5,"admiration, anger, neutral, realization, sadness"
schneidern,2,"approval, neutral"
unterwäsche,3,"amusement, joy, neutral"
obwohl,4,"approval, joy, love, neutral"
eigentlich,2,"curiosity, neutral"
sagen,12,"admiration, amusement, annoyance, approval, curiosity, fear, gratitude, joy, love, neutral, realization, sadness"
anstellung,3,"curiosity, nervousness, neutral"
ruft,2,"anger, neutral"
fast,7,"admiration, amusement, fear, love, neutral, sadness, surprise"
nackt,3,"amusement, annoyance, neutral"
fassen,2,"disappointment, neutral"
gelingt,2,"disappointment, neutral"
vollkommen,2,"neutral, realization"
gemeinsam,3,"approval, disappointment, neutral"
glas,10,"admiration, annoyance, approval, caring, confusion, desire, disapproval, fear, neutral, sadness"
rose,7,"admiration, annoyance, confusion, joy, neutral, optimism, realization"
krank,2,"neutral, sadness"
künstliche,4,"admiration, curiosity, love, neutral"
ertragen,3,"admiration, love, neutral"
stets,3,"love, neutral, realization"
wald,8,"admiration, curiosity, fear, gratitude, grief, neutral, realization, sadness"
fliegt,3,"admiration, disapproval, neutral"
gesund,3,"caring, joy, neutral"
erinnert,4,"admiration, love, neutral, realization"
frühere,3,"amusement, love, neutral"
flieht,3,"amusement, fear, neutral"
wünschen,3,"curiosity, disappointment, neutral"
trennen,2,"love, neutral"
mögen,2,"love, neutral"
wilden,3,"gratitude, love, neutral"
schwäne,7,"admiration, anger, annoyance, caring, joy, neutral, sadness"
elisa,13,"admiration, anger, annoyance, approval, confusion, curiosity, disappointment, fear, joy, love, neutral, realization, sadness"
sechs,2,"admiration, neutral"
brüdern,4,"admiration, gratitude, neutral, sadness"
hielt,7,"admiration, amusement, annoyance, approval, disappointment, joy, neutral"
hexentochter,3,"admiration, anger, neutral"
brüder,8,"amusement, approval, caring, desire, fear, neutral, realization, sadness"
däumelinchen,9,"admiration, annoyance, caring, disapproval, disgust, joy, love, neutral, sadness"
kind,10,"admiration, annoyance, caring, curiosity, disappointment, gratitude, joy, love, neutral, sadness"
kröte,7,"admiration, amusement, disapproval, disgust, neutral, realization, remorse"
entführt,2,"anger, neutral"
freunde,4,"admiration, annoyance, love, neutral"
maikäfer,3,"annoyance, love, neutral"
lustig,4,"amusement, joy, love, neutral"
winter,7,"approval, curiosity, fear, gratitude, love, neutral, realization"
unterschlupf,2,"admiration, neutral"
feldmaus,4,"admiration, approval, neutral, sadness"
helfen,9,"admiration, approval, caring, disappointment, disapproval, gratitude, love, neutral, optimism"
geschichten,5,"admiration, amusement, approval, love, neutral"
besuch,3,"excitement, neutral, sadness"
maulwurf,4,"admiration, annoyance, neutral, realization"
freundin,2,"caring, neutral"
schwalbe,6,"admiration, caring, desire, joy, neutral, sadness"
blüte,2,"joy, neutral"
elf,7,"anger, caring, curiosity, joy, neutral, realization, sadness"
einzigen,2,"disapproval, neutral"
verschollen,2,"neutral, surprise"
verlassen,3,"annoyance, neutral, sadness"
leute,8,"admiration, amusement, approval, fear, joy, love, neutral, sadness"
spur,2,"annoyance, neutral"
nehmen,4,"admiration, approval, neutral, optimism"
erneut,5,"disappointment, fear, love, neutral, realization"
böse,13,"admiration, amusement, annoyance, approval, caring, confusion, disappointment, disapproval, disgust, embarrassment, fear, neutral, sadness"
stiefmutter,4,"annoyance, disgust, neutral, sadness"
hemden,3,"neutral, realization, sadness"
brennnesseln,3,"anger, neutral, realization"
zauber,3,"excitement, love, neutral"
gebrochen,3,"love, neutral, sadness"
wiederum,2,"love, neutral"
stumme,3,"admiration, love, neutral"
kammer,2,"disapproval, neutral"
pflanzen,2,"admiration, neutral"
pflücken,2,"disgust, neutral"
erzbischof,2,"annoyance, neutral"
zeuge,2,"admiration, neutral"
hexen,3,"anger, annoyance, neutral"
frauen,2,"neutral, sadness"
führt,2,"neutral, sadness"
tod,5,"amusement, annoyance, neutral, realization, sadness"
droht,2,"neutral, surprise"
gefahren,3,"excitement, gratitude, neutral"
wagen,8,"admiration, approval, desire, disgust, grief, neutral, pride, sadness"
gelegt,2,"desire, neutral"
fahrt,4,"amusement, excitement, neutral, surprise"
hastig,2,"neutral, sadness"
letzten,4,"desire, love, neutral, surprise"
richtplatz,2,"anger, neutral"
angekommen,3,"anger, joy, neutral"
zehn,3,"disappointment, gratitude, neutral"
bruder,3,"admiration, neutral, sadness"
schwan,3,"admiration, disgust, neutral"
fordert,2,"neutral, surprise"
verneigen,2,"admiration, neutral"
gehalten,3,"admiration, fear, neutral"
galoschen,10,"admiration, amusement, caring, confusion, curiosity, desire, disappointment, excitement, joy, neutral"
sorge,2,"fear, neutral"
mensch,9,"admiration, amusement, annoyance, disapproval, joy, neutral, optimism, realization, sadness"
ewigen,5,"fear, love, neutral, optimism, realization"
taugen,2,"confusion, neutral"
neuen,4,"annoyance, disappointment, neutral, realization"
herr,6,"admiration, approval, curiosity, embarrassment, neutral, sadness"
gesteckt,2,"curiosity, neutral"
idee,2,"neutral, realization"
junger,4,"admiration, love, neutral, surprise"
leutnant,2,"neutral, surprise"
ball,6,"approval, desire, joy, love, neutral, surprise"
ganzes,3,"approval, neutral, sadness"
vermögen,3,"curiosity, neutral, optimism"
tun,6,"admiration, annoyance, confusion, neutral, optimism, realization"
erschöpft,2,"neutral, realization"
schlaf,3,"neutral, realization, sadness"
denen,5,"admiration, approval, love, neutral, optimism"
tote,2,"neutral, sadness"
füßen,5,"admiration, caring, disgust, neutral, sadness"
abgenommen,2,"desire, neutral"
theater,3,"amusement, annoyance, neutral"
gelangen,4,"desire, fear, neutral, optimism"
oper,2,"annoyance, neutral"
behandelt,3,"admiration, caring, neutral"
ganz,18,"admiration, amusement, annoyance, approval, confusion, curiosity, disappointment, disapproval, excitement, fear, joy, love, nervousness, neutral, optimism, realization, sadness, surprise"
ersten,7,"approval, caring, disappointment, joy, love, neutral, realization"
reihe,2,"admiration, neutral"
laut,7,"admiration, amusement, approval, fear, love, neutral, sadness"
situation,2,"approval, neutral"
mitten,10,"admiration, approval, desire, disapproval, fear, love, neutral, realization, sadness, surprise"
gut,13,"admiration, amusement, approval, caring, confusion, curiosity, embarrassment, excitement, fear, joy, neutral, realization, sadness"
gerät,6,"annoyance, embarrassment, neutral, realization, sadness, surprise"
tiefer,3,"admiration, approval, neutral"
lauter,2,"love, neutral"
dampfbad,2,"fear, neutral"
wundert,2,"neutral, surprise"
eintrittskarte,2,"annoyance, neutral"
verrückt,5,"amusement, annoyance, excitement, joy, neutral"
irrenarzt,2,"annoyance, neutral"
einfach,3,"confusion, love, neutral"
zieht,4,"annoyance, love, neutral, surprise"
vogel,10,"admiration, annoyance, approval, caring, curiosity, disgust, gratitude, neutral, realization, sadness"
worte,6,"admiration, annoyance, approval, disappointment, neutral, realization"
feen,2,"love, neutral"
nähe,2,"neutral, remorse"
glücks,7,"caring, confusion, curiosity, disappointment, excitement, joy, neutral"
armen,7,"admiration, amusement, joy, love, neutral, realization, sadness"
langem,3,"joy, neutral, realization"
student,2,"desire, neutral"
gern,10,"admiration, approval, curiosity, desire, fear, gratitude, joy, love, neutral, sadness"
verwundert,2,"neutral, surprise"
wesen,3,"joy, neutral, sadness"
wohin,5,"curiosity, disappointment, embarrassment, neutral, realization"
gewünscht,2,"desire, neutral"
figuren,3,"admiration, amusement, neutral"
kay,9,"admiration, curiosity, disapproval, excitement, gratitude, love, neutral, realization, sadness"
kaiser,13,"admiration, amusement, annoyance, approval, curiosity, desire, disapproval, embarrassment, gratitude, joy, neutral, realization, surprise"
kleider,7,"admiration, amusement, annoyance, curiosity, excitement, neutral, realization"
schwefelhölzern,3,"admiration, annoyance, neutral"
schlosses,4,"annoyance, joy, neutral, sadness"
erwartet,4,"desire, neutral, optimism, remorse"
reisekamerad,5,"admiration, fear, joy, neutral, sadness"
beweisen,4,"approval, desire, love, neutral"
fragen,2,"confusion, neutral"
tiefste,2,"desire, neutral"
schlafmittel,2,"desire, neutral"
glücksfee,2,"excitement, neutral"
verschwindet,2,"admiration, neutral"
junge,8,"admiration, disappointment, fear, grief, joy, love, neutral, realization"
bauer,5,"approval, desire, disgust, joy, neutral"
springt,2,"excitement, neutral"
cape,2,"disappointment, neutral"
cod,2,"disappointment, neutral"
hübsches,3,"admiration, curiosity, neutral"
fischschwanz,3,"admiration, annoyance, neutral"
schnell,6,"admiration, anger, annoyance, fear, love, neutral"
fahren,3,"admiration, annoyance, neutral"
kornbluth,2,"neutral, sadness"
dabei,8,"approval, curiosity, disappointment, joy, neutral, realization, sadness, surprise"
stürzt,2,"annoyance, neutral"
bewusstlos,2,"neutral, sadness"
blonde,2,"admiration, neutral"
rettete,2,"caring, neutral"
beine,4,"admiration, caring, disapproval, neutral"
wiedersehen,2,"joy, neutral"
deshalb,6,"admiration, excitement, fear, joy, neutral, realization"
polizei,3,"approval, curiosity, neutral"
sprache,2,"disappointment, neutral"
name,3,"admiration, curiosity, neutral"
auszusprechen,3,"caring, love, neutral"
madison,2,"love, neutral"
sagt,7,"admiration, approval, caring, embarrassment, excitement, gratitude, neutral"
tage,6,"admiration, annoyance, disappointment, fear, love, neutral"
bleiben,4,"admiration, approval, love, neutral"
besessen,2,"admiration, neutral"
hilft,3,"approval, neutral, sadness"
langen,7,"admiration, anger, fear, joy, neutral, optimism, sadness"
springen,2,"excitement, neutral"
klar,5,"admiration, love, neutral, realization, surprise"
erbse,5,"admiration, disappointment, joy, love, neutral"
regen,5,"admiration, embarrassment, fear, neutral, sadness"
blick,5,"admiration, curiosity, love, neutral, realization"
gesucht,2,"neutral, sadness"
öffnet,2,"admiration, neutral"
lachen,3,"amusement, joy, neutral"
mädchens,2,"love, neutral"
kommenden,2,"fear, neutral"
weckt,2,"curiosity, neutral"
anmutig,2,"joy, neutral"
schultern,2,"admiration, neutral"
schweinehirten,3,"annoyance, neutral, realization"
prächtiger,2,"admiration, neutral"
anblick,3,"admiration, joy, neutral"
pflegt,2,"caring, neutral"
natürliche,2,"annoyance, neutral"
verspottet,2,"disgust, neutral"
schweinehirt,10,"admiration, anger, annoyance, curiosity, disappointment, excitement, gratitude, neutral, sadness, surprise"
traurig,3,"admiration, neutral, sadness"
spaß,2,"amusement, neutral"
neuer,3,"admiration, joy, neutral"
musik,8,"admiration, amusement, annoyance, disappointment, joy, love, neutral, surprise"
lieblich,2,"admiration, neutral"
küsse,7,"amusement, annoyance, excitement, gratitude, love, neutral, realization"
topf,4,"admiration, curiosity, gratitude, neutral"
schmutzigen,2,"disgust, neutral"
zehnmal,2,"love, neutral"
spielzeug,2,"neutral, sadness"
melodie,3,"admiration, approval, neutral"
oh,9,"admiration, curiosity, disgust, embarrassment, fear, joy, neutral, realization, surprise"
augustin,6,"admiration, approval, desire, excitement, love, neutral"
preis,2,"desire, neutral"
hundert,3,"admiration, fear, neutral"
gerne,3,"joy, love, neutral"
verweist,2,"annoyance, neutral"
echten,2,"admiration, neutral"
weitem,2,"fear, neutral"
berge,4,"curiosity, fear, joy, neutral"
wälder,3,"admiration, neutral, sadness"
tuch,3,"admiration, disgust, neutral"
kleiner,8,"admiration, annoyance, approval, curiosity, embarrassment, fear, neutral, sadness"
witz,5,"admiration, amusement, neutral, pride, realization"
gehen,8,"admiration, amusement, desire, disgust, fear, gratitude, neutral, surprise"
königstochter,3,"amusement, curiosity, neutral"
tief,6,"admiration, curiosity, fear, neutral, realization, sadness"
werben,2,"desire, neutral"
dinge,6,"admiration, caring, excitement, joy, love, neutral"
opfer,2,"caring, neutral"
freude,7,"admiration, desire, joy, love, neutral, realization, surprise"
verzichten,3,"excitement, love, neutral"
schwarze,4,"admiration, love, neutral, sadness"
schönheit,5,"admiration, embarrassment, love, neutral, realization"
gefahr,2,"neutral, realization"
stellen,3,"annoyance, fear, neutral"
troll,3,"disgust, neutral, sadness"
weite,2,"embarrassment, neutral"
drehen,3,"admiration, amusement, neutral"
tanz,4,"disappointment, joy, neutral, surprise"
beantwortet,2,"admiration, neutral"
hoffnung,4,"neutral, optimism, realization, sadness"
erlösen,3,"confusion, love, neutral"
liebste,2,"admiration, neutral"
diesmal,3,"disappointment, love, neutral"
kopf,12,"admiration, annoyance, caring, confusion, disgust, embarrassment, fear, joy, love, neutral, sadness, surprise"
wissen,8,"approval, curiosity, disapproval, excitement, joy, neutral, realization, surprise"
lebendige,3,"admiration, love, neutral"
dritte,4,"amusement, fear, love, neutral"
gedacht,5,"approval, curiosity, neutral, realization, surprise"
gesteht,2,"love, neutral"
wahrheit,3,"embarrassment, neutral, realization"
feiern,2,"joy, neutral"
preziöse,2,"anger, neutral"
müde,5,"admiration, embarrassment, nervousness, neutral, sadness"
ferne,3,"admiration, curiosity, neutral"
maler,2,"admiration, neutral"
gatten,2,"excitement, neutral"
unglaublichste,4,"admiration, annoyance, confusion, neutral"
kunst,4,"admiration, joy, love, neutral"
schlossgarten,2,"admiration, neutral"
darbietungen,2,"excitement, neutral"
platz,4,"admiration, amusement, disgust, neutral"
klingt,2,"annoyance, neutral"
ganze,13,"admiration, anger, annoyance, approval, confusion, curiosity, disappointment, embarrassment, gratitude, joy, neutral, optimism, sadness"
recht,12,"admiration, amusement, approval, caring, disappointment, disgust, fear, joy, love, neutral, realization, sadness"
lauten,3,"fear, neutral, sadness"
liegen,3,"admiration, neutral, pride"
gras,2,"gratitude, neutral"
tänzer,2,"admiration, neutral"
hüpfen,2,"excitement, neutral"
vorbei,7,"admiration, annoyance, curiosity, love, neutral, realization, sadness"
poet,3,"admiration, annoyance, neutral"
erster,2,"excitement, neutral"
pantomime,2,"admiration, neutral"
wahren,2,"approval, neutral"
stirbt,2,"neutral, sadness"
wohl,16,"admiration, amusement, anger, annoyance, approval, caring, confusion, curiosity, desire, disapproval, excitement, gratitude, joy, love, neutral, sadness"
leidenschaft,3,"admiration, approval, neutral"
zarte,4,"desire, love, neutral, realization"
richtige,4,"approval, love, neutral, realization"
müsste,2,"love, neutral"
bemerken,2,"disappointment, neutral"
matratzen,2,"admiration, neutral"
eiderdaunendecken,2,"admiration, neutral"
zuletzt,5,"annoyance, approval, disgust, fear, neutral"
däumeline,2,"admiration, neutral"
geschichte,9,"admiration, anger, annoyance, approval, desire, excitement, gratitude, neutral, realization"
samenkorn,2,"admiration, neutral"
genannt,3,"admiration, curiosity, neutral"
größer,8,"admiration, annoyance, disappointment, fear, joy, love, neutral, sadness"
daumen,2,"joy, neutral"
kennen,2,"admiration, neutral"
seerosenblatt,3,"fear, joy, neutral"
fliehen,3,"disappointment, love, neutral"
weiteren,3,"excitement, love, neutral"
heimweg,4,"admiration, disappointment, neutral, surprise"
erfahren,4,"amusement, approval, neutral, realization"
eltern,5,"admiration, disappointment, joy, neutral, sadness"
liebsten,4,"curiosity, joy, love, neutral"
alten,9,"admiration, amusement, curiosity, desire, disappointment, excitement, joy, love, neutral"
verfallen,2,"neutral, sadness"
gestorben,3,"admiration, neutral, sadness"
karl,3,"admiration, joy, neutral"
käfer,2,"admiration, neutral"
gewalt,2,"anger, neutral"
freundlich,3,"admiration, joy, neutral"
altar,2,"embarrassment, neutral"
tal,2,"love, neutral"
liebenden,2,"neutral, surprise"
mann,16,"admiration, amusement, annoyance, approval, confusion, curiosity, disappointment, disapproval, fear, joy, love, neutral, pride, realization, sadness, surprise"
flügel,8,"admiration, amusement, curiosity, embarrassment, fear, neutral, realization, sadness"
kaisers,2,"admiration, neutral"
lorenzo,3,"joy, neutral, realization"
steuern,2,"annoyance, neutral"
untertanen,2,"curiosity, neutral"
großer,4,"admiration, fear, neutral, sadness"
armut,2,"anger, neutral"
plan,2,"annoyance, neutral"
lehre,3,"gratitude, neutral, realization"
erteilen,2,"love, neutral"
major,2,"admiration, neutral"
kehren,3,"joy, neutral, sadness"
bitten,2,"desire, neutral"
sprechen,7,"admiration, amusement, confusion, disappointment, disapproval, neutral, sadness"
dürfen,4,"admiration, annoyance, neutral, sadness"
stoffe,4,"admiration, annoyance, joy, neutral"
weben,3,"admiration, neutral, realization"
wartet,2,"love, neutral"
weit,10,"admiration, amusement, annoyance, disappointment, excitement, fear, love, neutral, realization, sadness"
natürlich,3,"admiration, approval, neutral"
amt,3,"admiration, confusion, neutral"
zugeben,4,"joy, neutral, realization, sadness"
bestätigt,2,"annoyance, neutral"
herum,4,"admiration, disappointment, fear, neutral"
volk,6,"admiration, amusement, anger, joy, neutral, realization"
entscheidung,2,"approval, neutral"
dumm,7,"admiration, annoyance, approval, confusion, fear, neutral, realization"
unfähig,3,"admiration, annoyance, neutral"
hofstaat,2,"neutral, realization"
gewändern,3,"amusement, approval, neutral"
zeigen,7,"annoyance, approval, caring, embarrassment, neutral, optimism, realization"
entschlossen,2,"neutral, realization"
ende,6,"approval, disapproval, fear, love, neutral, realization"
führen,3,"caring, joy, neutral"
zuerst,5,"amusement, anger, approval, caring, neutral"
jubeln,2,"admiration, neutral"
seien,3,"admiration, neutral, sadness"
kleines,8,"admiration, amusement, fear, gratitude, joy, love, neutral, sadness"
klärt,2,"caring, neutral"
ehrlich,3,"curiosity, neutral, sadness"
zukunft,3,"disappointment, joy, neutral"
hässliche,3,"admiration, disgust, neutral"
entlein,9,"admiration, annoyance, curiosity, disgust, fear, joy, neutral, remorse, sadness"
ente,6,"admiration, curiosity, disappointment, disgust, joy, neutral"
enterich,2,"disgust, neutral"
schlüpfen,3,"admiration, approval, neutral"
ei,5,"admiration, annoyance, curiosity, disgust, neutral"
weißes,3,"admiration, grief, neutral"
geraten,4,"annoyance, desire, fear, neutral"
streit,4,"anger, annoyance, neutral, realization"
still,2,"embarrassment, neutral"
herzen,12,"admiration, amusement, annoyance, approval, caring, fear, grief, joy, love, neutral, realization, sadness"
aufgenommen,2,"love, neutral"
oft,6,"desire, disgust, joy, neutral, sadness, surprise"
arielle,8,"amusement, anger, caring, desire, disappointment, love, neutral, realization"
vaters,5,"admiration, caring, fear, neutral, sadness"
unbemerkt,2,"neutral, realization"
treiben,2,"annoyance, neutral"
perfekte,2,"admiration, neutral"
chance,2,"caring, neutral"
triton,3,"anger, disappointment, neutral"
abends,5,"admiration, amusement, fear, neutral, realization"
ehren,2,"neutral, optimism"
erik,6,"admiration, disappointment, joy, neutral, realization, sadness"
arielles,2,"admiration, neutral"
ertrinken,3,"caring, curiosity, neutral"
gerettet,7,"anger, caring, gratitude, love, neutral, sadness, surprise"
außer,10,"admiration, annoyance, confusion, disappointment, fear, gratitude, grief, neutral, realization, sadness"
wut,2,"neutral, realization"
dreizack,2,"desire, neutral"
geheimes,2,"anger, neutral"
versteck,2,"anger, neutral"
menschenwelt,3,"anger, love, neutral"
tagen,3,"amusement, neutral, sadness"
geküsst,2,"love, neutral"
seele,12,"admiration, amusement, approval, caring, confusion, curiosity, desire, disappointment, joy, love, neutral, optimism"
gehört,7,"admiration, approval, caring, disappointment, joy, neutral, realization"
bezahlung,2,"caring, neutral"
verwandelte,2,"admiration, neutral"
sogleich,9,"admiration, amusement, anger, approval, disappointment, gratitude, joy, love, neutral"
geplant,2,"neutral, realization"
genau,2,"admiration, neutral"
vanessa,2,"admiration, neutral"
falsche,2,"annoyance, neutral"
max,2,"neutral, realization"
begreift,2,"approval, neutral"
untergehen,2,"admiration, neutral"
versehentlich,2,"neutral, sadness"
zorn,3,"love, neutral, realization"
hinaus,12,"admiration, amusement, anger, caring, desire, excitement, fear, gratitude, joy, neutral, realization, sadness"
bord,2,"neutral, sadness"
töten,2,"love, neutral"
all,7,"admiration, anger, curiosity, gratitude, neutral, realization, surprise"
emil,3,"caring, fear, neutral"
waisenhaus,2,"neutral, realization"
landfried,2,"caring, neutral"
inga,3,"fear, neutral, sadness"
eng,2,"neutral, optimism"
ingas,2,"joy, neutral"
heim,5,"amusement, caring, joy, neutral, sadness"
bestraft,3,"disapproval, neutral, surprise"
weihnachtstag,2,"neutral, surprise"
schwefelhölzer,4,"admiration, neutral, optimism, surprise"
meisten,2,"admiration, neutral"
belohnung,3,"caring, neutral, optimism"
mut,9,"approval, confusion, disappointment, fear, grief, joy, love, neutral, realization"
kräftigen,2,"caring, neutral"
hölzchen,4,"admiration, neutral, realization, sadness"
abkauft,2,"fear, neutral"
fremde,3,"admiration, fear, neutral"
kalt,5,"admiration, annoyance, approval, joy, neutral"
festlich,2,"neutral, realization"
wohnzimmer,2,"neutral, realization"
fremden,3,"desire, joy, neutral"
bündel,2,"joy, neutral"
brand,2,"joy, neutral"
vorhang,2,"joy, neutral"
herzlich,4,"desire, gratitude, joy, neutral"
willkommen,2,"admiration, neutral"
heißen,2,"annoyance, neutral"
leblos,2,"neutral, realization"
abgebrannte,2,"disappointment, neutral"
engel,6,"admiration, anger, love, neutral, realization, sadness"
vereint,2,"amusement, neutral"
frieden,2,"joy, neutral"
heißt,2,"curiosity, neutral"
amulett,2,"admiration, neutral"
bild,6,"admiration, disgust, joy, love, neutral, sadness"
statt,2,"joy, neutral"
weise,2,"neutral, realization"
tölpelhans,5,"amusement, curiosity, excitement, joy, neutral"
klugen,2,"admiration, neutral"
melchior,2,"neutral, sadness"
gregor,2,"neutral, sadness"
kümmern,3,"annoyance, disapproval, neutral"
tausendschön,3,"disappointment, joy, neutral"
bereit,2,"curiosity, neutral"
glück,14,"amusement, annoyance, caring, curiosity, desire, disappointment, disgust, gratitude, grief, joy, neutral, optimism, realization, remorse"
unrecht,2,"neutral, realization"
getan,2,"neutral, realization"
eigener,3,"admiration, embarrassment, neutral"
erobern,2,"desire, neutral"
kennt,2,"neutral, surprise"
draußen,12,"admiration, amusement, anger, approval, caring, desire, fear, joy, neutral, realization, sadness, surprise"
dennoch,4,"approval, joy, neutral, optimism"
schließt,3,"admiration, joy, neutral"
wohnt,3,"admiration, curiosity, neutral"
mühle,2,"admiration, neutral"
händen,7,"admiration, amusement, caring, desire, fear, joy, neutral"
bewerber,3,"annoyance, approval, neutral"
reden,2,"disappointment, neutral"
ebenso,4,"admiration, fear, neutral, realization"
weniger,2,"excitement, neutral"
taugt,2,"admiration, neutral"
wolle,5,"admiration, disgust, fear, love, neutral"
gefolgt,2,"neutral, realization"
hohen,4,"admiration, approval, desire, neutral"
mauer,4,"admiration, amusement, joy, neutral"
umgeben,2,"love, neutral"
dunkel,3,"annoyance, love, neutral"
niemand,13,"admiration, amusement, annoyance, caring, confusion, curiosity, disappointment, disapproval, disgust, joy, neutral, realization, sadness"
tür,7,"admiration, desire, embarrassment, nervousness, neutral, pride, sadness"
stand,12,"admiration, anger, disappointment, embarrassment, fear, grief, joy, love, nervousness, neutral, realization, sadness"
katrin,3,"admiration, neutral, realization"
leidet,2,"caring, neutral"
verstehen,3,"admiration, annoyance, neutral"
leer,3,"admiration, disappointment, neutral"
